serial,location,stream_type,n_observations,best_curve,best_r2,mean_fullness_at_collection,median_elapsed_hours,pct_wasted_trips,fill_pct_at_24h,fill_pct_at_48h,fill_pct_at_72h,coeff_L,coeff_k,coeff_t0,coeff_a,coeff_b
1515681,U02 Spieker Plaza Center,Waste,98,sigmoid,0.4085,42.7,68.9,48.0,16.0,34.7,51.2,62.438151,0.053789,43.837487,,
1515682,E08 Cory Hall,Compostables,18,sigmoid,0.2145,12.2,118.1,88.9,0.6,1.2,2.4,117.304764,0.030127,200.0,,
1515683,E23 Glade Path,Compostables,69,sigmoid,0.3294,39.7,73.1,59.4,12.1,35.3,49.5,53.325277,0.079122,39.47562,,
1515684,E13 Stanley Hall,Compostables,38,saturating,0.2873,31.1,83.2,71.1,11.1,20.7,28.9,,,,78.663183,0.00635
1515685,U13 Bancroft Way,Compostables,127,sigmoid,0.3234,57.2,48.2,38.6,36.6,65.1,71.9,72.866764,0.088581,23.922128,,
1515686,E05 V&A Cafe/Etcheverry,Compostables,57,sigmoid,0.2136,36.8,75.6,59.6,11.0,37.7,43.5,43.935021,0.120131,33.086784,,
1515687,U20 Sproul Hall UCPD,Compostables,49,sigmoid,0.4535,42.4,95.8,51.0,14.7,24.1,35.8,71.988436,0.028051,72.482136,,
1515688,W01 Lower Crescent,Compostables,64,sigmoid,0.4267,38.8,82.1,53.1,12.9,21.7,33.1,74.302218,0.027965,79.733548,,
1515689,U06 Bear's Lair,Compostables,102,sigmoid,0.2337,34.7,35.8,65.7,27.5,45.7,46.8,46.811814,0.138771,21.466868,,
1515690,W02 Crescent,Compostables,64,sigmoid,0.3468,49.7,64.4,43.8,17.0,40.5,61.8,74.939091,0.057752,45.177616,,
1515691,E25 Cronk Gate,Compostables,53,sigmoid,0.1146,26.0,75.6,73.6,14.9,18.4,22.6,109.380871,0.010499,200.0,,
1515692,U15 Sather Gate,Waste,173,sigmoid,0.2338,53.6,40.9,34.1,42.2,63.4,64.9,65.028103,0.126634,19.123545,,
1515693,U12 Upper MLK Union,Waste,168,sigmoid,0.0718,65.0,45.6,29.2,58.4,65.1,71.4,103.490698,0.011274,1.0,,
1515694,U11 Golden Bear NE,Waste,311,saturating,-0.0334,70.2,17.3,19.3,70.3,70.3,70.3,,,,70.285908,2.0
1515695,E15 Bancroft Library,Waste,72,sigmoid,0.4512,35.8,57.9,55.6,10.0,50.4,50.4,50.4205,1.022226,25.369154,,
1515696,U08 MLK Courtyard,Waste,195,saturating,0.1015,61.0,25.6,27.2,60.9,69.0,70.1,,,,70.268134,0.08405
1515697,E13 Stanley Hall,Waste,86,sigmoid,0.5979,34.7,71.8,58.1,8.9,23.0,40.7,58.141172,0.053257,56.018785,,
1515699,E01 California Hall,Waste,100,sigmoid,0.5393,37.8,48.3,57.0,8.6,43.1,58.7,60.207584,0.113062,39.850379,,
1515700,E06 Sutardja Dali Hall/Yali's 1,Waste,87,sigmoid,0.2683,52.4,68.8,33.3,32.8,43.5,53.8,81.335679,0.022177,41.698029,,
1515701,E07 Sutardja Dai Hall/Yali's 2,Waste,58,sigmoid,0.2382,38.3,90.0,56.9,18.3,24.6,32.2,92.918377,0.016022,111.678608,,
1515702,U19 Wheeler Walkway,Waste,92,sigmoid,0.2916,53.5,64.3,33.7,35.1,61.8,61.8,61.841328,0.510237,23.471943,,
1515703,E09- East Asian Library,Waste,7,insufficient_data,,51.4,92.2,28.6,,,,,,,,
1515704,E05 V&A Cafe/Etcheverry,Waste,66,sigmoid,0.2571,63.3,77.6,16.7,30.5,59.2,68.6,70.480737,0.080374,27.348758,,
1515710,E29 Campanile East,Waste,100,sigmoid,0.508,43.2,72.0,51.0,3.9,60.0,60.1,60.084196,0.413806,30.454952,,
1515711,U07 Cal Book Store,Waste,188,sigmoid,0.202,56.5,27.0,29.8,54.6,65.9,66.1,66.069471,0.174484,15.049229,,
1515712,E09- East Asian Library,Compostables,3,insufficient_data,,20.0,159.7,100.0,,,,,,,,
1515714,"U24 Rice & Bones, Wurster",Compostables,70,sigmoid,0.3083,48.0,76.5,34.3,13.2,51.2,57.1,57.383965,0.13846,32.694305,,
1515715,E04 North Gate Entrance,Compostables,71,sigmoid,0.2103,54.4,91.6,32.4,36.0,44.1,51.8,78.571993,0.017198,33.748802,,
1515716,E16 Campanile,Compostables,45,sigmoid,0.0577,54.7,104.5,28.9,44.4,47.6,50.9,120.0,0.004719,136.992348,,
1515718,U18 Dwinelle Walkway,Compostables,103,sigmoid,0.2898,50.9,48.1,41.7,33.0,60.9,62.3,62.374338,0.149694,23.205707,,
1515719,W03 Li Ka Shing Hall,Compostables,26,sigmoid,0.6151,54.6,99.4,23.1,0.0,48.1,61.7,61.739149,1.999997,47.37175,,
1515720,"U24 Rice & Bones, Wurster",Bottles/Cans,17,power_law,-0.0,36.5,143.0,52.9,36.5,36.5,36.5,,,,36.470588,0.0
1515721,U02 Spieker Plaza Center,Bottles/Cans,25,sigmoid,0.0895,31.2,80.2,60.0,5.5,22.4,37.4,41.537002,0.084814,46.145232,,
1515722,U09 MLK Ramp,Bottles/Cans,76,sigmoid,0.3488,43.4,58.8,48.7,0.0,48.2,61.7,61.689174,0.686389,46.147312,,
1515723,E13 Stanley Hall,Bottles/Cans,10,sigmoid,0.005,36.0,118.7,50.0,27.5,29.6,31.8,88.534657,0.004538,200.0,,
1515724,U11 Golden Bear Cafe Entry,Bottles/Cans,102,sigmoid,0.2339,59.4,48.2,33.3,38.6,56.7,72.1,93.025408,0.032898,34.422586,,
1515725,U27 Anthony Hall,Bottles/Cans,4,insufficient_data,,15.0,117.3,75.0,,,,,,,,
1515726,E15 Bancroft Library,Bottles/Cans,13,sigmoid,0.26,43.1,124.2,46.2,9.1,21.6,38.4,60.067099,0.047784,60.005655,,
1515727,E16 Campanile,Bottles/Cans,23,sigmoid,-0.0004,58.3,93.3,34.8,58.1,58.2,58.2,116.061302,0.0001,1.000008,,
1515728,W01 Lower Crescent,Bottles/Cans,49,sigmoid,0.2318,47.3,74.2,40.8,26.9,34.4,43.1,120.0,0.013805,113.937028,,
1515729,E25 Cronk Gate,Bottles/Cans,29,saturating,0.3588,59.3,101.6,27.6,20.1,36.7,50.4,,,,115.083852,0.008004
1515731,W02 Crescent,Bottles/Cans,42,sigmoid,0.4567,39.0,93.9,50.0,8.0,15.1,26.8,97.950867,0.030075,104.528137,,
1515732,E04 North Gate Entrance,Bottles/Cans,51,sigmoid,0.4289,38.0,93.4,52.9,0.0,0.0,48.8,56.825978,0.812113,69.781225,,
